Brawler,Map,Adjusted Win Rate
SPIKE,Backyard Bowl,0.594004439
JESSIE,Power Shot,0.593970705
GROM,Some Assembly Required,0.593942015
EMZ,Sneaky Fields,0.59390712
ROSA,Center Field,0.593844852
PAM,WARRIOR'S WAY,0.593782184
GRIFF,Center Field,0.593749942
SANDY,Crystal Arcade,0.593665888
FANG,Deep Diner,0.593544867
PIPER,Dry Season,0.593485579
JACKY,Bot Drop,0.593479354
ASH,Dark Fantasies,0.593477317
GALE,DUELIST'S DESTINY,0.593474326
GROM,Safety Center,0.593402531
ROSA,Firm Grip,0.593326923
ROSA,Hard Rock Mine,0.593315774
BIBI,Diagonal Alley,0.593311779
BELLE,Pinhole Punt,0.593255388
AMBER,TIGER TRAP,0.593230762
BULL,Hot Potato,0.593143194
BIBI,Junk Park,0.593118251
SHELLY,WARRIOR'S WAY,0.593109096
JACKY,Sticky Notes,0.593099939
EDGAR,Diagonal Alley,0.593074634
LOU,WARRIOR'S WAY,0.593022416
NITA,Sneaky Fields,0.592937437
TARA,Lit Match,0.592935484
EL PRIMO,Center Field,0.592914489
SQUEAK,NO SURRENDER,0.592753716
BUZZ,Firm Grip,0.592751898
JESSIE,Double Swoosh,0.592746255
DARRYL,SHROUDING SERPENT,0.592721765
ASH,Mystic Touch,0.592685124
GROM,Mystic Touch,0.592660474
FANG,Sneaky Fields,0.592646778
POCO,Pinhole Punt,0.592557925
TARA,Sticky Notes,0.592496272
POCO,Firm Grip,0.592457285
SANDY,Deep Diner,0.592368807
FRANK,Triple Dribble,0.592363585
LOLA,Hideout,0.592361867
GROM,Acid Lakes,0.592357493
GRIFF,Triple Dribble,0.592296085
BARLEY,NO SURRENDER,0.592247121
GRIFF,TIGER TRAP,0.592166394
8-BIT,TIGER TRAP,0.592149325
CARL,DANGER CHAMBER,0.592085958
LOLA,Center Field,0.591974832
CARL,Dry Season,0.591974671
BULL,NO SURRENDER,0.591951183
FANG,Center Field,0.591782709
TARA,Diagonal Alley,0.591751365
GROM,Ruins,0.591734757
DARRYL,Hot Potato,0.59172941
SANDY,Center Field,0.591702553
COLONEL RUFFS,MONKEY MAZE,0.591615727
BULL,TIGER TRAP,0.59156997
BARLEY,TIGER TRAP,0.591486222
GRIFF,Sneaky Fields,0.591362769
MEG,Gem Source,0.591347465
ASH,Robo Ring,0.591290415
LOU,Diagonal Alley,0.591217815
FANG,Electric Zone,0.591216343
EMZ,Power Shot,0.591128358
EL PRIMO,Pinball Dreams,0.591124747
GALE,Field Goal,0.590975212
SPROUT,NO SURRENDER,0.590956
JESSIE,Binary Coding,0.59085488
8-BIT,WARRIOR'S WAY,0.590816421
JESSIE,Pinball Dreams,0.590755072
SPIKE,Last Stand,0.590690935
LEON,Belle's Rock,0.590667437
ROSA,Crystal Arcade,0.590606071
GENE,Luis' Revenge,0.590583321
FRANK,Binary Coding,0.590580667
BO,TIGER TRAP,0.590550803
BUZZ,Triple Dribble,0.590535638
ASH,NO SURRENDER,0.59052117
PIPER,Bot Drop,0.590510217
LOLA,Luis' Revenge,0.590447503
FRANK,DANGER CHAMBER,0.590415708
GENE,Pit Stop,0.590393869
EDGAR,Pit Stop,0.59037516
BUZZ,Pinball Dreams,0.590372208
JACKY,Kaboom Canyon,0.590362458
EMZ,Super Stadium,0.590288922
DARRYL,Dune Drift,0.590152754
NANI,Purple Paradise,0.590085628
PIPER,Purple Paradise,0.590085628
BELLE,Purple Paradise,0.590085628
JESSIE,Acute Angle,0.59004469
NITA,Center Stage,0.590004179
GALE,MONKEY MAZE,0.590001714
SQUEAK,Luis' Revenge,0.589970805
LEON,Dune Drift,0.589932962
TARA,Flooded Mine,0.589795646
MEG,Deep Diner,0.58978894
PAM,Purple Paradise,0.589780183
BYRON,Purple Paradise,0.589780183
GENE,Purple Paradise,0.589780183
COLETTE,MONKEY MAZE,0.589777976
ROSA,Triple Dribble,0.589772875
RICO,Safe Zone,0.589620159
EL PRIMO,NO SURRENDER,0.589560299
JESSIE,Parallel Plays,0.589515612
POCO,Super Stadium,0.5894951
BELLE,Super Stadium,0.589451752
ASH,Deep Diner,0.589426565
ASH,Double Trouble,0.589397045
JACKY,MONKEY MAZE,0.589305178
GALE,Pinhole Punt,0.589243719
PENNY,Deep End,0.58923678
LOLA,Flaring Phoenix,0.589168048
TARA,Pierced,0.589149566
NITA,Triple Dribble,0.589130691
DARRYL,Some Assembly Required,0.589118978
PAM,TIGER TRAP,0.589081396
SPIKE,TIGER TRAP,0.58903197
BEA,Sneaky Fields,0.588976837
JACKY,Danger Zone,0.588954369
DARRYL,SUPER CITY,0.588910134
COLONEL RUFFS,DANGER CHAMBER,0.588899437
JESSIE,Bridge Too Far,0.588799505
CROW,Backyard Bowl,0.588692382
TICK,Hideout,0.588645467
BUZZ,Junk Park,0.588618214
COLETTE,DUELIST'S DESTINY,0.58861821
PENNY,TIGER TRAP,0.58861803
DARRYL,Backyard Bowl,0.588573332
DYNAMIKE,Hot Potato,0.588537501
GRIFF,Firm Grip,0.588532658
ROSA,Deep End,0.588480606
GROM,Factory Rush,0.588405138
FANG,Deep End,0.588361875
PAM,Pinhole Punt,0.588288822
NITA,Danger Zone,0.58827859
LOLA,Ruins,0.588209141
EMZ,Lit Match,0.588187057
TARA,DUELIST'S DESTINY,0.58815411
RICO,Gem Source,0.588147888
BEA,Lit Match,0.588099389
CROW,SHROUDING SERPENT,0.588084656
DARRYL,Pit Stop,0.588063868
FRANK,TIGER TRAP,0.588028525
RICO,Center Field,0.588004859
BO,DANGER CHAMBER,0.587988237
JACKY,Safe Zone,0.587927045
SHELLY,DUELIST'S DESTINY,0.587925417
MORTIS,Dry Season,0.58791165
COLETTE,WARRIOR'S WAY,0.587838635
ROSA,Gem Fort,0.587838633
ASH,Rockwall Brawl,0.587805512
NITA,NO SURRENDER,0.587786517
TARA,Gem Fort,0.587785718
STU,Field Goal,0.587779846
BELLE,Factory Rush,0.587779681
MEG,SHROUDING SERPENT,0.587754416
SPIKE,SUPER CITY,0.587736314
FANG,Flooded Mine,0.587735882
BO,NO SURRENDER,0.587718964
FRANK,Diagonal Alley,0.587666079
BIBI,Nuts & Bolts,0.587555628
ASH,Goldarm Gulch,0.587541491
JESSIE,NO SURRENDER,0.587534583
SPIKE,MONKEY MAZE,0.587509293
BYRON,Kaboom Canyon,0.587461831
EMZ,Center Field,0.587427434
BO,Flaring Phoenix,0.587371223
MEG,Center Field,0.587290033
FANG,Luis' Revenge,0.587269417
BELLE,Field Goal,0.587247371
NITA,MONKEY MAZE,0.587230951
LOU,Deathcap Trap,0.587195813
COLT,NO SURRENDER,0.587121058
BEA,DANGER CHAMBER,0.587104635
LOLA,Deep End,0.587060307
